log2N,N,delta,log2s,s,rho,storage_bytes,honest_bytes,storage_fraction,rec_hashes_median,rec_hashes_p99,depth_median,depth_p99,saturated,resp_seq_s_median,resp_seq_s_p99,resp_par_s_median,resp_par_s_p99,pass_rate,pass_validated,challenges
22,4194304,2,0,1,1.0,268435424,268435424,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,20
22,4194304,2,1,2,0.5,201326560,268435424,0.7499999701976741,5,13,4,8,0,2.455433875165742e-07,6.384128075430928e-07,1.9643471001325935e-07,3.928694200265187e-07,1.0,0,20
22,4194304,2,2,4,0.25,100663264,268435424,0.37499992549418515,709403,1325236,1526,1623,1,0.034837843146884054,0.06508058733978293,7.493984187005844e-05,7.970338358787998e-05,1.0,0,20
22,4194304,2,3,8,0.125,50331616,268435424,0.1874999031424407,1027071,3146284,18528,26905,1,0.05043809851200707,0.1545098462898394,0.0009098855767814173,0.0013212689682266857,1.0,0,20
22,4194304,2,4,16,0.0625,25165792,268435424,0.09374989196656847,1579236,3556020,46859,73055,1,0.0775541914256249,0.17463143937533762,0.0023011835191278297,0.0035876344350046652,1.0,0,20
22,4194304,2,5,32,0.03125,12582880,268435424,0.04687488637863235,2018945,3471933,-1,-1,1,0.09914771890192997,0.17050203801011637,-1,-1,1.0,0,20
22,4194304,2,6,64,0.015625,6291424,268435424,0.023437383584664295,1900410,4013505,130986,236728,1,0.09332662181407454,0.1970979227029416,0.006432549231449197,0.011625399008004715,1.0,0,20
22,4194304,2,7,128,0.0078125,3145696,268435424,0.011718632187680267,2308235,3797492,50973,50973,1,0.11335436821686393,0.18648980994941805,0.002503216618376467,0.002503216618376467,1.0,0,20
22,4194304,2,8,256,0.00390625,1572832,268435424,0.005859256489188253,2078598,3548747,205639,205639,1,0.10207719884103521,0.174274271963856,0.01009865933310416,0.01009865933310416,1.0,0,20
22,4194304,2,9,512,0.001953125,786400,268435424,0.0029295686399422455,1950466,4056518,184858,184858,1,0.09578480577518048,0.19921023424839168,0.009078131905907774,0.009078131905907774,1.0,0,20
22,4194304,2,10,1024,0.0009765625,393184,268435424,0.001464724715319242,1907214,4162051,141061,246688,1,0.0936607572558071,0.204392820311349,0.006927319157295094,0.01211452143593773,1.0,0,20
22,4194304,4,0,1,1.0,268435424,268435424,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,20
